Target Acquired,Target Acquired,Target Acquired
002-Er,10.00%,Uncommon (12.50%)
,,
Glacial Edge,Glacial Edge,Glacial Edge
Source,Mod Drop Chance,Chance
Tusk Shield Dargyn,3.00%,Rare (7.37%)
Tusk Dargyn,3.00%,Rare (7.37%)
Dargyn,3.00%,Rare (7.37%)
Exo Gokstad Officer,5.00%,Rare (5.04%)
Kosma Gokstad Officer,5.00%,Rare (4.42%)
Gyre Gokstad Officer,5.00%,Legendary (0.88%)
Exo Gokstad Pilot,5.00%,Rare (5.04%)
Kosma Gokstad Pilot,5.00%,Rare (4.42%)
Gyre Gokstad Pilot,5.00%,Legendary (0.88%)
Gyre Roller Sentry,5.00%,Legendary (0.88%)
,,
Critical Meltdown,Critical Meltdown,Critical Meltdown
Source,Mod Drop Chance,Chance
Lumbering Fragment,1.50%,Uncommon (16.67%)
,,
Ripload,Ripload,Ripload
Source,Mod Drop Chance,Chance
Cannon Battery,15.00%,Uncommon (25.29%)
Elite Taro Harpi,15.00%,Uncommon (22.33%)
Taro Harpi,15.00%,Uncommon (25.29%)
Elite Axio Harpi,15.00%,Common (59.66%)
Axio Harpi,15.00%,Very Common (75.88%)
Elite Vorac Harpi,15.00%,Common (59.66%)
Vorac Harpi,15.00%,Very Common (75.88%)
Elite Kosma Taktis,15.00%,Uncommon (16.25%)
Kosma Taktis,15.00%,Uncommon (25.29%)
Elite Gyre Taktis,15.00%,Uncommon (22.52%)
Gyre Taktis,15.00%,Common (37.94%)
,,
Gladiator Aegis,Gladiator Aegis,Gladiator Aegis
Source,Mod Drop Chance,Chance
Aerial Commander,100.00%,Common (37.94%)
,,
Augur Secrets,Augur Secrets,Augur Secrets
Source,Mod Drop Chance,Chance
Tusk Thumper Doma,15.00%,Uncommon (12.50%)
Tusk Thumper Bull,15.00%,Uncommon (12.50%)
Tusk Thumper,15.00%,Uncommon (12.50%)
Recon Commander,100.00%,Legendary (0.50%)
Narmer Thumper Doma,15.00%,Uncommon (12.50%)
Narmer Thumper Bull,15.00%,Uncommon (12.50%)
Narmer Thumper,15.00%,Uncommon (12.50%)
,,
Protective Shots,Protective Shots,Protective Shots
Source,Mod Drop Chance,Chance
Cannon Battery,15.00%,Rare (7.37%)
Taro Basilisk,15.00%,Rare (7.37%)
Taro Harpi,15.00%,Rare (7.37%)
Taro Weaver,15.00%,Uncommon (22.92%)
Elite Kosma Taktis,15.00%,Uncommon (10.07%)
Kosma Taktis,15.00%,Rare (7.37%)
,,
Seismic Palm,Seismic Palm,Seismic Palm
Source,Mod Drop Chance,Chance
Leaper,3.00%,Ultra Rare (1.01%)
Deimos Leaper,3.00%,Ultra Rare (1.01%)
,,
Continuity,Continuity,Continuity
Source,Mod Drop Chance,Chance
Elite Shield Lancer,5.00%,Rare (2.78%)
Juno Glaxion Moa,3.00%,Ultra Rare (1.01%)
Commander,100.00%,Ultra Rare (1.01%)
General Sargas Ruk,100.00%,Ultra Rare (1.01%)
Narmer Glaxion Moa,3.00%,Ultra Rare (1.01%)
,,
Vital Sense,Vital Sense,Vital Sense
Source,Mod Drop Chance,Chance
Vapos Prod Crewman,3.00%,Legendary (0.50%)
Taro Stropha Crewman,3.00%,Legendary (0.50%)
Orm Stropha Crewman,3.00%,Legendary (0.50%)
Axio Stropha Crewman,3.00%,Legendary (0.50%)
Vorac Stropha Crewman,3.00%,Legendary (0.50%)
Juno Malleus Machinist,3.00%,Legendary (0.50%)
Corpus Power Carrier,5.00%,Legendary (0.97%)
Prod Crewman,3.00%,Legendary (0.50%)
Nul Comba,5.00%,Legendary (0.50%)
Sap Comba,5.00%,Legendary (0.50%)
Slo Comba,5.00%,Legendary (0.50%)
Fog Comba,5.00%,Legendary (0.50%)
Narmer Prod Crewman,3.00%,Legendary (0.50%)
Terra Detron Crewman,5.00%,Legendary (0.50%)
Terra Research Crewman,5.00%,Legendary (0.50%)
Terra Elite Crewman,5.00%,Legendary (0.50%)
Terra Crewman,5.00%,Legendary (0.50%)
Terra Crewman,20.00%,Legendary (0.50%)
Terra Plasmor Crewman,5.00%,Legendary (0.50%)
Terra Plasmor Crewman,20.00%,Legendary (0.50%)
Terra Sniper Crewman,5.00%,Legendary (0.50%)
Terra Sniper Crewman,20.00%,Legendary (0.50%)
,,
Energy Amplifier,Energy Amplifier,Energy Amplifier
Source,Mod Drop Chance,Chance
Vapos Aquila,20.00%,Rare (7.37%)
Lancer Dreg,3.00%,Rare (5.53%)
Shield-Hellion Dargyn,20.00%,Rare (7.37%)
Comet Shard,20.00%,Rare (7.37%)
Kosma Gokstad Officer,5.00%,Rare (4.42%)
Kosma Gokstad Pilot,5.00%,Rare (4.42%)
,,
Auxiliary Power,Auxiliary Power,Auxiliary Power
Source,Mod Drop Chance,Chance
Uncommon Corpus Storage Container,5.00%,Rare (5.53%)
Uncommon Corpus Storage Container,5.00%,Rare (5.53%)
Common Grineer Storage Container,5.00%,Rare (7.37%)
Common Grineer Storage Container,5.00%,Rare (7.37%)
Uncommon Grineer Storage Container,5.00%,Rare (5.53%)
Uncommon Grineer Storage Container,5.00%,Rare (5.53%)
Shield Dargyn,3.00%,Rare (5.64%)
Orokin Storage Container,5.00%,Rare (5.53%)
Orokin Storage Container,5.00%,Rare (5.53%)
Orokin Storage Container,5.00%,Rare (5.53%)
Orokin Storage Container,5.00%,Rare (5.53%)
Rare Corpus Storage Container,7.50%,Rare (5.53%)
Rare Corpus Storage Container,7.50%,Rare (5.53%)
Rare Grineer Storage Container,7.50%,Rare (5.53%)
Rare Grineer Storage Container,7.50%,Rare (5.53%)
Rare Orokin Storage Container,5.00%,Rare (5.53%)
Rare Orokin Storage Container,5.00%,Rare (5.53%)
Reinforced Grineer Storage Container,10.00%,Rare (5.53%)
Reinforced Grineer Storage Container,10.00%,Rare (5.53%)
Reinforced Grineer Storage Container,10.00%,Rare (5.53%)
Reinforced Grineer Storage Container,10.00%,Rare (5.53%)
Reinforced Orokin Storage Container,5.00%,Rare (5.53%)
Reinforced Orokin Storage Container,5.00%,Rare (5.53%)
Gyre Raider,5.00%,Rare (5.53%)
Gyre Raider Carver,5.00%,Rare (5.53%)
Gyre Raider Eviscerator,5.00%,Rare (5.53%)
Nascent Membroid,5.00%,Rare (5.53%)
Nascent Membroid,5.00%,Rare (5.53%)
Mature Membroid,5.00%,Rare (5.53%)
Mature Membroid,5.00%,Rare (5.53%)
Apex Membroid,5.00%,Rare (5.53%)
Apex Membroid,5.00%,Rare (5.53%)
Juvenile Membroid,5.00%,Rare (5.53%)
Juvenile Membroid,5.00%,Rare (5.53%)
,,
Point Strike,Point Strike,Point Strike
Source,Mod Drop Chance,Chance
Vapos Tech,3.00%,Common (37.94%)
Vapos Tech Ranger,10.00%,Uncommon (25.29%)
Vapos Elite Ranger,10.00%,Uncommon (25.29%)
Vapos Nullifier Ranger,10.00%,Uncommon (25.29%)
Vapos Detron Ranger,10.00%,Uncommon (25.29%)
Vapos Sniper Ranger,10.00%,Uncommon (25.29%)
Taro Ranger Crewman,10.00%,Uncommon (25.29%)
Optio,3.00%,Common (37.94%)
Aurax Baculus,3.00%,Uncommon (25.29%)
Orm Ranger Crewman,10.00%,Uncommon (25.29%)
Axio Ranger Crewman,10.00%,Uncommon (25.29%)
Vorac Ranger Crewman,10.00%,Uncommon (25.29%)
Tusk Napalm,3.00%,Uncommon (25.29%)
Tusk Butcher,3.00%,Uncommon (18.97%)
Guardsman,3.00%,Uncommon (25.29%)
Corpus Tech,3.00%,Common (37.94%)
Kuva Drahk Master,3.00%,Uncommon (18.97%)
Kuva Napalm,3.00%,Uncommon (25.29%)
Kuva Butcher,3.00%,Uncommon (18.97%)
Ghoul Devourer,10.00%,Uncommon (25.29%)
Drahk Master,3.00%,Uncommon (18.97%)
Napalm,3.00%,Uncommon (25.29%)
Frontier Bailiff,3.00%,Uncommon (18.97%)
Bailiff,3.00%,Uncommon (18.97%)
Butcher,3.00%,Uncommon (18.97%)
Grineer Manic,50.00%,Uncommon (18.97%)
Drekar Butcher,3.00%,Uncommon (18.97%)
Drekar Manic,3.00%,Uncommon (18.97%)
Corpus Warden,3.00%,Common (37.94%)
Latrox Une,3.00%,Common (37.94%)
Narmer Elite Ranger,10.00%,Uncommon (25.29%)
Narmer Jailer,10.00%,Uncommon (25.29%)
Narmer Nullifier Ranger,10.00%,Uncommon (25.29%)
Narmer Detron Ranger,10.00%,Uncommon (25.29%)
Narmer Sniper Ranger,10.00%,Uncommon (25.29%)
Narmer Corpus Tech,3.00%,Common (37.94%)
Narmer Tech Ranger,10.00%,Uncommon (25.29%)
Narmer Crewman Warden,3.00%,Common (37.94%)
Narmer Napalm,3.00%,Uncommon (25.29%)
Terra Manker,10.00%,Uncommon (25.29%)
Terra Manker,20.00%,Uncommon (25.29%)
Terra Elite Provisor,10.00%,Uncommon (25.29%)
Terra Provisor,10.00%,Uncommon (25.29%)
Terra Provisor,20.00%,Uncommon (25.29%)
Terra Elite Overtaker,10.00%,Uncommon (25.29%)
Terra Overtaker,10.00%,Uncommon (25.29%)
Terra Overtaker,20.00%,Uncommon (25.29%)
Terra Jailer,10.00%,Uncommon (25.29%)
Terra Cestra Manker,10.00%,Uncommon (25.29%)
Terra Elite Trencher,10.00%,Uncommon (25.29%)
Terra Nullifier Crewman,10.00%,Uncommon (25.29%)
Terra Trencher,10.00%,Uncommon (25.29%)
Terra Trencher,20.00%,Uncommon (25.29%)
,,
Shattering Storm,Shattering Storm,Shattering Storm
Source,Mod Drop Chance,Chance
Commander,100.00%,Uncommon (11.06%)
General Sargas Ruk,100.00%,Uncommon (11.06%)
,,
Decisive Judgement,Decisive Judgement,Decisive Judgement
Source,Mod Drop Chance,Chance
Heavy Gunner,3.00%,Ultra Rare (1.01%)
Arid Heavy Gunner,3.00%,Ultra Rare (1.01%)
Frontier Heavy Gunner,3.00%,Ultra Rare (1.01%)
Infested Mesa,3.00%,Uncommon (20.00%)
Tenno Specter,3.00%,Uncommon (20.00%)
Corrupted Warden,3.00%,Ultra Rare (1.01%)
Grineer Warden,3.00%,Ultra Rare (1.01%)
Garv,3.00%,Ultra Rare (1.01%)
Narmer Gunner Warden,3.00%,Ultra Rare (1.01%)
Narmer Heavy Gunner,3.00%,Ultra Rare (1.01%)
Chroma,3.00%,Uncommon (20.00%)
,,
Tranquil Cleave,Tranquil Cleave,Tranquil Cleave
Source,Mod Drop Chance,Chance
Arid Butcher,3.00%,Ultra Rare (1.01%)
Frontier Butcher,3.00%,Ultra Rare (1.01%)
Narmer Butcher,3.00%,Ultra Rare (1.01%)
,,
Vaporize,Vaporize,Vaporize
Source,Mod Drop Chance,Chance
Vapos Fusion Moa,3.00%,Uncommon (18.97%)
Kuva Powerclaw,3.00%,Common (37.94%)
Fusion Moa,3.00%,Uncommon (18.97%)
Powerfist,3.00%,Common (37.94%)
Narmer Powerfist,3.00%,Common (37.94%)
,,
Rebound,Rebound,Rebound
Source,Mod Drop Chance,Chance
Lephantis,100.00%,Common (37.94%)
,,
Death Blossom,Death Blossom,Death Blossom
Source,Mod Drop Chance,Chance
Elite Exo Taktis,15.00%,Ultra Rare (1.12%)
Exo Taktis,15.00%,Legendary (0.67%)
,,
Flame Gland,Flame Gland,Flame Gland
Source,Mod Drop Chance,Chance
Icemire Hyena,10.00%,Legendary (0.60%)
Rabbleback Hyena,10.00%,Legendary (0.60%)
Gyre Hyena,10.00%,Legendary (0.60%)
Cinderthresh Hyena,10.00%,Legendary (0.60%)
Orb Vallis - Spaceport Enemies,5.00%,Legendary (0.94%)
,,
Vermillion Storm,Vermillion Storm,Vermillion Storm
Source,Mod Drop Chance,Chance
Manic Bombard,40.00%,Legendary (0.67%)
Kuva Guardian,40.00%,Ultra Rare (1.01%)
Drekar Manic Bombard,40.00%,Legendary (0.67%)
,,
Expel Infested,Expel Infested,Expel Infested
Source,Mod Drop Chance,Chance
Demolisher Boiler,15.00%,Uncommon (25.00%)
Demolisher Thrasher,15.00%,Uncommon (25.00%)
Demolisher Juggernaut,15.00%,Uncommon (25.00%)
Demolisher Charger,15.00%,Uncommon (25.00%)
Brood Mother,3.00%,Uncommon (22.11%)
Ancient Disruptor,3.00%,Uncommon (11.06%)
Tar Mutalist Moa,3.00%,Uncommon (11.06%)
Deimos Therid,3.00%,Uncommon (11.06%)
Deimos Brood Mother,3.00%,Uncommon (22.11%)
,,
Crowd Dispersion,Crowd Dispersion,Crowd Dispersion
Source,Mod Drop Chance,Chance
Vapos Sapping Osprey,3.00%,Uncommon (25.29%)
Sapping Osprey,3.00%,Uncommon (25.29%)
Leech Osprey,3.00%,Uncommon (25.29%)
Narmer Leech Osprey,3.00%,Uncommon (25.29%)
Narmer Mine Osprey,3.00%,Uncommon (25.29%)
Narmer Sapping Osprey,3.00%,Uncommon (25.29%)
,,
Hunter Munitions,Hunter Munitions,Hunter Munitions
Source,Mod Drop Chance,Chance
Hemocyte,100.00%,Uncommon (10.53%)
Ghoul Rictus Alpha,50.00%,Uncommon (22.11%)
,,
Crash Course,Crash Course,Crash Course
Source,Mod Drop Chance,Chance
Eidolon Teralyst,100.00%,Rare (8.33%)
,,
Gaia's Tragedy,Gaia's Tragedy,Gaia's Tragedy
Source,Mod Drop Chance,Chance
Vapos Bioengineer,4.00%,Uncommon (25.00%)
Taro Pilot,4.00%,Uncommon (25.00%)
Orm Pilot,4.00%,Uncommon (25.00%)
Axio Pilot,4.00%,Uncommon (25.00%)
Vorac Pilot,4.00%,Uncommon (25.00%)
Juno Fog Comba,4.00%,Uncommon (25.00%)
Juno Sap Comba,4.00%,Uncommon (25.00%)
Juno Nul Comba,4.00%,Uncommon (25.00%)
Juno Slo Comba,4.00%,Uncommon (25.00%)
Juno Nullifier Crewman,4.00%,Uncommon (25.00%)
Juno Sniper Crewman,4.00%,Uncommon (25.00%)
Datalyst,4.00%,Uncommon (25.00%)
Nul Comba,4.00%,Uncommon (25.00%)
Nul Scrambus,4.00%,Uncommon (25.00%)
Sap Comba,4.00%,Uncommon (25.00%)
Sap Scrambus,4.00%,Uncommon (25.00%)
Slo Comba,4.00%,Uncommon (25.00%)
Slo Scrambus,4.00%,Uncommon (25.00%)
Fog Comba,4.00%,Uncommon (25.00%)
Fog Scrambus,4.00%,Uncommon (25.00%)
,,
Pistol Amp,Pistol Amp,Pistol Amp
Source,Mod Drop Chance,Chance
Knave Specter,100.00%,Common (51.52%)
,,
Reaping Spiral,Reaping Spiral,Reaping Spiral
Source,Mod Drop Chance,Chance
Vapos Crewman,3.00%,Ultra Rare (1.01%)
Taro Crewman,3.00%,Ultra Rare (1.01%)
Taro Tech,3.00%,Legendary (0.67%)
Taro Engineer,3.00%,Legendary (0.67%)
Orm Crewman,3.00%,Ultra Rare (1.01%)
Orm Tech,3.00%,Legendary (0.67%)
Orm Engineer,3.00%,Legendary (0.67%)
Axio Crewman,3.00%,Ultra Rare (1.01%)
Axio Tech,3.00%,Legendary (0.67%)
Axio Engineer,3.00%,Legendary (0.67%)
Vorac Crewman,3.00%,Ultra Rare (1.01%)
Vorac Tech,3.00%,Legendary (0.67%)
Vorac Engineer,3.00%,Legendary (0.67%)
Corrupted Power Carrier,3.00%,Ultra Rare (1.01%)
Nightwatch Carrier,3.00%,Ultra Rare (1.01%)
Juno Elite Crewman,3.00%,Legendary (0.67%)
Juno Tech,3.00%,Legendary (0.67%)
Eidolon Vomvalyst,5.00%,Legendary (0.67%)
Mutalist Osprey Carrier,3.00%,Ultra Rare (1.01%)
Corpus Power Carrier,3.00%,Ultra Rare (1.01%)
Kuva Hellion Carrier,3.00%,Ultra Rare (1.01%)
Kuva Power Carrier,3.00%,Ultra Rare (1.01%)
Hellion Power Carrier,3.00%,Ultra Rare (1.01%)
Hellion Power Carrier,25.00%,Ultra Rare (1.01%)
Grineer Power Carrier,3.00%,Ultra Rare (1.01%)
Crewman,3.00%,Ultra Rare (1.01%)
Deimos Mutalist Osprey Carrier,3.00%,Ultra Rare (1.01%)
Narmer Power Carrier,3.00%,Ultra Rare (1.01%)
Narmer Crewman,3.00%,Ultra Rare (1.01%)
Narmer Tech,3.00%,Legendary (0.67%)
,,
Primary Deadhead,Primary Deadhead,Primary Deadhead
Source,Mod Drop Chance,Chance
Misery (Level 0 - 100),100.00%,Uncommon (16.67%)
Misery (Level 0 - 100),100.00%,Uncommon (16.67%)
Misery (Level 0 - 100),100.00%,Uncommon (16.67%)
Misery (Level 0 - 100),100.00%,Uncommon (16.67%)
Misery (Level 0 - 100),100.00%,Uncommon (16.67%)
Misery (Level 0 - 100),100.00%,Uncommon (16.67%)
Angst (Level 0 - 100),100.00%,Uncommon (16.67%)
Angst (Level 0 - 100),100.00%,Uncommon (16.67%)
Angst (Level 0 - 100),100.00%,Uncommon (16.67%)
Angst (Level 0 - 100),100.00%,Uncommon (16.67%)
Angst (Level 0 - 100),100.00%,Uncommon (16.67%)
Angst (Level 0 - 100),100.00%,Uncommon (16.67%)
Torment (Level 0 - 100),100.00%,Uncommon (16.67%)
Torment (Level 0 - 100),100.00%,Uncommon (16.67%)
Torment (Level 0 - 100),100.00%,Uncommon (16.67%)
Torment (Level 0 - 100),100.00%,Uncommon (16.67%)
Torment (Level 0 - 100),100.00%,Uncommon (16.67%)
Torment (Level 0 - 100),100.00%,Uncommon (16.67%)
Violence (Level 0 - 100),100.00%,Uncommon (16.67%)
Violence (Level 0 - 100),100.00%,Uncommon (16.67%)
Violence (Level 0 - 100),100.00%,Uncommon (16.67%)
Violence (Level 0 - 100),100.00%,Uncommon (16.67%)
Violence (Level 0 - 100),100.00%,Uncommon (16.67%)
Violence (Level 0 - 100),100.00%,Uncommon (16.67%)
Malice (Level 0 - 100),100.00%,Uncommon (16.67%)
Malice (Level 0 - 100),100.00%,Uncommon (16.67%)
Malice (Level 0 - 100),100.00%,Uncommon (16.67%)
Malice (Level 0 - 100),100.00%,Uncommon (16.67%)
Malice (Level 0 - 100),100.00%,Uncommon (16.67%)
Malice (Level 0 - 100),100.00%,Uncommon (16.67%)
Mania (Level 0 - 100),100.00%,Uncommon (16.67%)
Mania (Level 0 - 100),100.00%,Uncommon (16.67%)
Mania (Level 0 - 100),100.00%,Uncommon (16.67%)
Mania (Level 0 - 100),100.00%,Uncommon (16.67%)
Mania (Level 0 - 100),100.00%,Uncommon (16.67%)
Mania (Level 0 - 100),100.00%,Uncommon (16.67%)
,,
Eternal Onslaught,Eternal Onslaught,Eternal Onslaught
Source,Mod Drop Chance,Chance
Void Angel,25.00%,Rare (6.67%)
Ravenous Void Angel,10.00%,Rare (6.67%)
Thrax Centurion,5.00%,Rare (6.67%)
Thrax Legatus,5.00%,Rare (6.67%)
,,
Shotgun Savvy,Shotgun Savvy,Shotgun Savvy
Source,Mod Drop Chance,Chance
Vapos Anti Moa,3.00%,Rare (7.52%)
Vapos Prod Crewman,3.00%,Uncommon (11.06%)
Taro Disc Moa,3.00%,Rare (7.52%)
Taro Stropha Crewman,3.00%,Uncommon (11.06%)
Orm Disc Moa,3.00%,Rare (7.52%)
Orm Stropha Crewman,3.00%,Uncommon (11.06%)
Axio Disc Moa,3.00%,Rare (7.52%)
Axio Stropha Crewman,3.00%,Uncommon (11.06%)
Vorac Disc Moa,3.00%,Rare (7.52%)
Vorac Stropha Crewman,3.00%,Uncommon (11.06%)
Juno Malleus Machinist,3.00%,Rare (7.37%)
Corpus Power Carrier,5.00%,Rare (4.66%)
Commander,100.00%,Uncommon (11.06%)
Anti Moa,3.00%,Rare (7.52%)
Prod Crewman,3.00%,Uncommon (11.06%)
Nul Comba,5.00%,Rare (4.42%)
Sap Comba,5.00%,Rare (4.42%)
Slo Comba,5.00%,Rare (4.42%)
Fog Comba,5.00%,Rare (4.42%)
General Sargas Ruk,100.00%,Uncommon (11.06%)
Drekar Heavy Gunner,3.00%,Uncommon (11.28%)
Narmer Prod Crewman,3.00%,Uncommon (11.06%)
Terra Detron Crewman,5.00%,Rare (4.42%)
Terra Research Crewman,5.00%,Rare (4.42%)
Terra Elite Crewman,5.00%,Rare (4.42%)
Terra Crewman,5.00%,Rare (4.42%)
Terra Crewman,20.00%,Rare (4.42%)
Terra Plasmor Crewman,5.00%,Rare (4.42%)
Terra Plasmor Crewman,20.00%,Rare (4.42%)
Terra Sniper Crewman,5.00%,Rare (4.42%)
Terra Sniper Crewman,20.00%,Rare (4.42%)
,,
Arcane Tempo,Arcane Tempo,Arcane Tempo
Source,Mod Drop Chance,Chance
Eidolon Teralyst (Special),100.00%,Uncommon (15.68%)
Eidolon Teralyst,100.00%,Uncommon (18.50%)
,,
Kinetic Diversion,Kinetic Diversion,Kinetic Diversion
Source,Mod Drop Chance,Chance
Tusk Thumper Doma,15.00%,Uncommon (12.50%)
Aerial Commander,100.00%,Legendary (0.50%)
Narmer Thumper Doma,15.00%,Uncommon (12.50%)
Exo Gokstad Officer,5.00%,Ultra Rare (1.68%)
Kuva Lich Agor Rok (Level 70 - 79),3.00%,Legendary (0.52%)
Exo Gokstad Pilot,5.00%,Ultra Rare (1.68%)
,,
Seismic Wave,Seismic Wave,Seismic Wave
Source,Mod Drop Chance,Chance
Tusk Reaver,3.00%,Uncommon (11.06%)
Bailiff,3.00%,Uncommon (11.06%)
Bailiff Defector,3.00%,Uncommon (11.06%)
,,
Hunter Synergy,Hunter Synergy,Hunter Synergy
Source,Mod Drop Chance,Chance
Hemocyte,100.00%,Uncommon (10.53%)
Ghoul Auger Alpha,50.00%,Uncommon (22.11%)
,,
Suppress,Suppress,Suppress
Source,Mod Drop Chance,Chance
Corrupted Crewman,3.00%,Uncommon (32.47%)
Exploiter Orb,100.00%,Common (38.72%)
,,
Coiling Viper,Coiling Viper,Coiling Viper
Source,Mod Drop Chance,Chance
Corrupted Crewman,3.00%,Legendary (0.86%)
,,
Berserker Fury,Berserker Fury,Berserker Fury
Source,Mod Drop Chance,Chance
Corrupted Ancient,3.00%,Ultra Rare (1.01%)
Infested Mesa,3.00%,Uncommon (20.00%)
Tenno Specter,3.00%,Uncommon (20.00%)
Chroma,3.00%,Uncommon (20.00%)
,,
Venomous Clip,Venomous Clip,Venomous Clip
Source,Mod Drop Chance,Chance
Carrier,5.00%,Rare (7.37%)
Lancer Dreg,3.00%,Rare (5.53%)
Kosma Butcher,5.00%,Rare (5.04%)
Exo Butcher,5.00%,Rare (5.04%)
Exo Elite Lancer,5.00%,Rare (5.04%)
Kosma Elite Lancer,5.00%,Rare (5.04%)
Gyre Butcher,5.00%,Rare (5.26%)
Gyre Elite Lancer,5.00%,Rare (5.26%)
Exo Roller Sentry,5.00%,Rare (5.04%)
Kosma Roller Sentry,5.00%,Rare (5.04%)
,,
Undying Will,Undying Will,Undying Will
Source,Mod Drop Chance,Chance
Tusk Elite Lancer,3.00%,Legendary (0.67%)
Dargyn Pilot,3.00%,Legendary (0.67%)
Elite Lancer,3.00%,Legendary (0.67%)
Kuva Elite Lancer,3.00%,Legendary (0.67%)
Draga,3.00%,Legendary (0.67%)
Elite Arid Lancer,3.00%,Legendary (0.67%)
Elite Frontier Lancer,3.00%,Legendary (0.67%)
Darek Draga,3.00%,Legendary (0.67%)
Shock Draga,3.00%,Legendary (0.67%)
Narmer Elite Lancer,3.00%,Legendary (0.67%)
,,
Combustion Beam,Combustion Beam,Combustion Beam
Source,Mod Drop Chance,Chance
Vapos Tech Ranger,10.00%,Legendary (0.67%)
Vapos Elite Ranger,10.00%,Legendary (0.67%)
Vapos Nullifier Ranger,10.00%,Legendary (0.67%)
Vapos Detron Ranger,10.00%,Legendary (0.67%)
Vapos Sniper Ranger,10.00%,Legendary (0.67%)
Vapos Nullifier,3.00%,Legendary (0.50%)
Vapos Bioengineer,4.00%,Uncommon (25.00%)
Vapos Sniper Crewman,3.00%,Legendary (0.50%)
Taro Ranger Crewman,10.00%,Legendary (0.67%)
Taro Nullifier Crewman,3.00%,Legendary (0.50%)
Axio Nullifier Crewman,3.00%,Legendary (0.50%)
Vorac Nullifier Crewman,3.00%,Legendary (0.50%)
Taro Pilot,4.00%,Uncommon (25.00%)
Orm Ranger Crewman,10.00%,Legendary (0.67%)
Orm Nullifier Crewman,3.00%,Legendary (0.50%)
Orm Pilot,4.00%,Uncommon (25.00%)
Axio Ranger Crewman,10.00%,Legendary (0.67%)
Axio Pilot,4.00%,Uncommon (25.00%)
Vorac Ranger Crewman,10.00%,Legendary (0.67%)
Vorac Pilot,4.00%,Uncommon (25.00%)
Juno Fog Comba,4.00%,Uncommon (25.00%)
Juno Sap Comba,4.00%,Uncommon (25.00%)
Juno Nul Comba,4.00%,Uncommon (25.00%)
Juno Slo Comba,4.00%,Uncommon (25.00%)
Juno Nullifier Crewman,4.00%,Uncommon (25.00%)
Juno Sniper Crewman,4.00%,Uncommon (25.00%)
Datalyst,4.00%,Uncommon (25.00%)
Nul Comba,4.00%,Uncommon (25.00%)
Nul Scrambus,4.00%,Uncommon (25.00%)
Sap Comba,4.00%,Uncommon (25.00%)
Sap Scrambus,4.00%,Uncommon (25.00%)
Slo Comba,4.00%,Uncommon (25.00%)
Slo Scrambus,4.00%,Uncommon (25.00%)
Fog Comba,4.00%,Uncommon (25.00%)
Fog Scrambus,4.00%,Uncommon (25.00%)
Nullifier Crewman,3.00%,Legendary (0.50%)
Sniper Crewman,3.00%,Legendary (0.50%)
Narmer Elite Ranger,10.00%,Legendary (0.67%)
Narmer Jailer,10.00%,Legendary (0.67%)
Narmer Nullifier Crewman,3.00%,Legendary (0.50%)
Narmer Nullifier Ranger,10.00%,Legendary (0.67%)
Narmer Detron Ranger,10.00%,Legendary (0.67%)
Narmer Sniper Crewman,3.00%,Legendary (0.50%)
Narmer Sniper Ranger,10.00%,Legendary (0.67%)
Narmer Tech Ranger,10.00%,Legendary (0.67%)
Terra Manker,10.00%,Legendary (0.67%)
Terra Manker,20.00%,Legendary (0.67%)
Terra Elite Provisor,10.00%,Legendary (0.67%)
Terra Provisor,10.00%,Legendary (0.67%)
Terra Provisor,20.00%,Legendary (0.67%)
Terra Elite Overtaker,10.00%,Legendary (0.67%)
Terra Overtaker,10.00%,Legendary (0.67%)
Terra Overtaker,20.00%,Legendary (0.67%)
Terra Jailer,10.00%,Legendary (0.67%)
Terra Cestra Manker,10.00%,Legendary (0.67%)
Terra Elite Trencher,10.00%,Legendary (0.67%)
Terra Nullifier Crewman,10.00%,Legendary (0.67%)
Terra Trencher,10.00%,Legendary (0.67%)
Terra Trencher,20.00%,Legendary (0.67%)
,,
Melee Fortification,Melee Fortification,Melee Fortification
Source,Mod Drop Chance,Chance
Mocking Whisper,50.00%,Uncommon (25.00%)
Scathing Whisper,50.00%,Uncommon (25.00%)
,,
Tempered Blade,Tempered Blade,Tempered Blade
Source,Mod Drop Chance,Chance
Ranger,3.00%,Uncommon (25.29%)
Quanta Ranger,3.00%,Uncommon (25.29%)
Penta Ranger,3.00%,Uncommon (25.29%)
Frigate,3.00%,Uncommon (25.29%)
Exo Raider,5.00%,Common (37.94%)
Exo Raider Carver,5.00%,Common (37.94%)
Exo Raider Eviscerator,5.00%,Common (37.94%)
Kosma Raider,5.00%,Common (37.94%)
Kosma Raider Carver,5.00%,Common (37.94%)
Kosma Raider Eviscerator,5.00%,Common (37.94%)
Kosma Butcher,5.00%,Very Common (76.47%)
Kosma Elite Lancer,5.00%,Very Common (76.47%)
Kosma Roller Sentry,5.00%,Very Common (76.47%)
,,
Charm,Charm,Charm
Source,Mod Drop Chance,Chance
Kuva Hyekka,20.00%,Rare (4.17%)
Hyekka,20.00%,Rare (4.17%)
,,
Melee Vortex,Melee Vortex,Melee Vortex
Source,Mod Drop Chance,Chance
Mocking Whisper,50.00%,Uncommon (12.50%)
Scathing Whisper,50.00%,Uncommon (12.50%)
,,
Four Riders,Four Riders,Four Riders
Source,Mod Drop Chance,Chance
